title;rating;chapters;description;url
Feasting Lord in Another world;9.85;30;A revolution is born in the humble fishing village of Evergreen... and it's about to shake an entire world! Reincarnated in a new realm, a brilliant nutritionist rises--not with swords or sorcery, but with knowledge, flavor, and unstoppable ambition. Armed with modern culinary science, they're ready to turn simple ingredients into a delicious empire. From a modest kitchen sparks a conquest unlike any other-- A conquest of kingdoms through taste. A takeover powered by innovation, strategy, and mouth-watering creations this world has never imagined. Prepare for a feast of ambition, transformation, and flavor that changes destiny itself. Welcome to Evergreen;https://demonicscans.org/manga/Feasting-Lord-in-Another-world
The Shepherd Wizard;9.83;33;There stood a seemingly ordinary shepherd named Turan from Hisaril Hill. Having lived while hiding his talent as a great archwizard, he finally steps out into the world.;https://demonicscans.org/manga/The-Shepherd-Wizard
The General - Fighting Legend;9.65;107;"Kwon, known as the ""martial god who guards Goryeo,"" wasn't always a legendary general. His story begins in childhood, alongside his older brother Jeong. The two are sons of Manjeok, once the strongest martial artist in Goryeo and a slave. When Manjeok launches a slave-liberation uprising and fails, he is executed, and Jeong and Kwon find their lives constantly under threat. While hiding to survive and training in their father's martial arts, the brothers are attacked by masters; Jeong is killed, and Kwon barely escapes with his life. Fleeing, he loses consciousness--and wakes up in a brutal Song-dynasty fighting arena, not a mere ring but an entire region where only the strong survive. There, Kwon resolves to grow stronger for the sake of revenge, vowing to become the mightiest of all and return to kill the one who took his brother's life. LATEST MANGA RELEASES";https://demonicscans.org/manga/The-General-%25252D-Fighting-Legend
Don't Look for the Resurrected Villainess;9.6;41;NA;https://demonicscans.org/manga/Don%255C%2527t-Look-for-the-Resurrected-Villainess
I Became The Rogue First Prince;9.55;50;After living hundreds of years as a sword, I suddenly reincarnate into the body of a fifteen-year-old delinquent prince.;https://demonicscans.org/manga/I-Became-The-Rogue-First-Prince
Bad Business;9.5;37;Jay, a legendary hitman in the American underworld, is hired by Union—North America’s largest killer company—to destroy the killer company established by his friend Johnny with his own hands. The condition for accepting the contract was that Johnny’s life would be spared, but both Johnny and Jay are killed due to Union’s betrayal. However, through mysterious power, Jay is resurrected in the body of an ordinary Korean young man and meets Johnny, who has been resurrected in the body of a young woman. The two decide to join forces again and establish a powerful “company” to take revenge on Union, which killed them.;https://demonicscans.org/manga/Bad-Business
The Glutton;9.44;45;The human world was destroyed by the demon lords. Having lost everything, the awakened warrior Si Chen chooses to launch a desperate, final attack sacrificing himself in order to take down the demon lord of gluttony, Lan Yue. But when he wakes up again, he finds himself transported ten years into the past, before any of this happened. Realizing that his powers have awakened earlier, he decides he must act early. With his return, everything else in the world seems to have changed as well;https://demonicscans.org/manga/The-Glutton
The Returnee's Hidden Strategy Stream;9.29;43;"""I came back to overcome my 55th regression."" Hanbit, the protagonist, is abducted by a goddess and thrown into the world of Erfort, where he must search for a way to save it. To find that solution, he goes through 55 full cycles of regression--meaning he also endures the pain of dying 55 times. When he finally breaks down and tells the goddess he can't take it anymore, he's sent back to his original world. Then, just for fun, he starts playing a new game... only to realize it's the very same world where he went through those 55 regressions. The deeper he digs into the game, the clearer it becomes that a dark conspiracy of the goddess is lurking behind everything. Can Hanbit expose the goddess's true, sinister intentions?";https://demonicscans.org/manga/The-Returnee%2527s-Hidden-Strategy-Stream
The Immortal Genius Spearman;9.19;30;"""In this life, I'll be the one who rules the battlefield."" Damian, a centurion in the Baroque Kingdom's punishment unit, dies nameless on some forgotten front at the age of thirty, regretting only one thing: ""Damn it... If I'd just had one more chance, I really would've ruled the battlefield with these guys."" When he opens his eyes again, he's gone back seventeen years--this time with a perfectly intact mana core that actually lets him learn magic. This time, he swears, he won't be swept along by an age of endless war. He'll climb higher than anyone and become the one who dominates it. Reborn in the past, Damian raises his spear toward the world and begins carving out the future he couldn't reach before.";https://demonicscans.org/manga/The-Immortal-Genius-Spearman
Got Dropped into a Ghost Story, Still Gotta Work;9.18;34;NA;https://demonicscans.org/manga/Got-Dropped-into-a-Ghost-Story%252C-Still-Gotta-Work
I Was Thrown Into an Unknown Manga;9.1;36;"A slightly smoother synopsis: ""Scramble Love"" is a smash-hit Japanese romantic comedy manga with over 10 million copies sold. I was thrown into the world of that manga--one I had never even read. And not as a main character, but as a forgettable extra with barely any role.";https://demonicscans.org/manga/I-Was-Thrown-Into-an-Unknown-Manga
Only I Have an EX-Grade Summon;9.03;36;"Summons have ranks. From the lowest F-Rank to the highest S-Rank. But something is strange. ""Why is my summon EX-Rank?""";https://demonicscans.org/manga/Only-I-Have-an-EX%25252DGrade-Summon
The God of Ad-Libs;9.0;32;Thirty-year-old unemployed Lee Tae-gyu. At some point, he began living a numb, lethargic life, entirely cut off from his own emotions. While struggling to escape his meaningless daily life, a fateful encounter with an enigmatic old man blesses him with the power of the phantom flame--the ability to 'copy' the feelings of those around him;https://demonicscans.org/manga/The-God-of-Ad%25252DLibs
Demonic Beast Hunter Survival Guide;9.0;32;"For 12 years, Woojin suffered from mysterious nightmares of unknown origin, until he suddenly met his death... When he opened his eyes, he found himself not in the real world, but inside the very world from his nightmares--the ""Demon Realm."" Using the skills he had honed all this time, Woojin hunts demon beasts and grows stronger with each kill. As a beast hunter, he begins living a brand-new life. 'A dark fantasy world where you grow stronger the more you hunt? Honestly, that's better.'";https://demonicscans.org/manga/Demonic-Beast-Hunter-Survival-Guide
The Regressor Makes Everything;8.92;37;"Lee Se-Hoon, the blacksmith of humanity's last desperate united force, fought against the demons until the very end. However, the result was mutual destruction, with the world coming to an end. The moment he took his own life over that futile conclusion-- ""...What is this?"" He had regressed to his days as a candidate at the hero training institution, Babel Academy. Having obtained a second chance, he swore to use anything as material to gain victory this time. Anything at all!";https://demonicscans.org/manga/The-Regressor-Makes-Everything
Sandmancer of the Scorched Desert;8.76;30;"[By the Author that brought you Legend of the Northern Blade and Reaper of the Drifting Moon!] ""My name is Zeon. My weapon is the entire desert."" Earth was forcefully terraformed. The oceans evaporated, and the land turned to sand. Zeon is the only sand mage left on this desertified Earth. The world calls him the ""Sand Wraith.""";https://demonicscans.org/manga/Sandmancer-of-the-Scorched-Desert
The Heavenly Demon Cult's Strongest Maid;8.67;36;I was just an ordinary office worker... until I woke up as Shin Seol-ha, a lowly maid inside a martial arts novel. To support the grandmother who raised her, Seol-ha entered the dreaded Demonic Cult as a servant, surviving a grueling five-year contract. Finally, with just two months left until her freedom, her plans are completely shattered. Of all people, she is reassigned as the personal maid to Jeok Igeon, a man utterly infamous for his cruelty. While keeping her head down to survive, Seol-ha accidentally discovers a hidden, monstrous talent for martial arts, with Igeon's help. To make matters worse, she suddenly has the attention of the entire Demonic Cult, culminating in an offer to become the Heavenly Demon's personal disciple! Wait, why is everyone suddenly so obsessed with me?! Seol-ha just wants to escape the Cult, but Jeok Igeon refuses to let her go. Just where will this increasingly tangled relationship end?;https://demonicscans.org/manga/The-Heavenly-Demon-Cult%2527s-Strongest-Maid
I Became the Master of the Weakest Demon King;8.11;34;"After criticizing the ending of the game ""Evil Queen Maker"" the protagonist is pulled inside as the Demon King's teacher and must raise the weakest Demon King, 7-year-old Seere, into the strongest ruler in order to escape.";https://demonicscans.org/manga/I-Became-the-Master-of-the-Weakest-Demon-King
To Hell with Being Heir, I'm going to Heal;8.08;30;"After defeating the evil that threatened the world, peace was finally restored to the world of . I have possessed a game that was failing, with nothing but an oxygen mask to keep it alive! ""I Don't Care About Being the Heir, I Just Want to Heal"" Lion Asteri, the eldest grandson of a magic noble family that even the emperor looks down upon. One day, when he went out despite his frail body...... Pop! [You have acquired Aqua Rosemary!] 'Gathering herbs just by pulling them out? This place is heaven!' A world where fair compensation follows your efforts! With a background that leaves nothing to be desired, they want me to live as the heir of the family? ""My younger brother should be the family head. Absolutely!"" Heartwarming brotherhood and familial love! Armed with limitless vitality, Lion's sweet healing life begins! **Original Novel:** [KakaoPage](https://page.kakao.com/content/65909500)";https://demonicscans.org/manga/To-Hell-with-Being-Heir%252C-I%255C%2527m-going-to-Heal
100 Million Years Later: The Ultimate Weapon's Return;8.08;31;"After humanity continuously polluted the world with waste, a monstrous being known as a ""Corrupter"" was born. As these creatures spread and eroded the world, humanity was pushed to the brink of extinction. The strongest agent, Jin Shido, finally obtained the power to save the world through dangerous human experimentation. However, it was already too late--99% of humanity had already perished. Entrusting hope to the future, Jin entered a long slumber. --And then, 100 million years later. On a newly reborn Earth, Jin awakens and smiles. ""...I knew it. It was right to believe in the possibilities of the future.""";https://demonicscans.org/manga/100-Million-Years-Later%253A-The-Ultimate-Weapon%2527s-Return
Doomsday Smuggler: I Trade Spicy Strips for Gold Bars;8.0;49;"In the apocalypse, the smuggler reigns, and spicy strips are king! While other people's online snack orders go wrong, Chen Yang receives a ""bonus"" ring that lets him travel to a wasteland world. In the real world he's a boss; in the ruined world he becomes an overlord. As others are still struggling just to survive, he's already using spicy strips to trade for technology and climbing straight to the peak of life.";https://demonicscans.org/manga/Doomsday-Smuggler%253A-I-Trade-Spicy-Strips-for-Gold-Bars
The Black-Haired U.S. Army General;7.91;46;In 1911, the first Korean cadet enrolled at the United States Military Academy;https://demonicscans.org/manga/The-Black%25252DHaired-U.S.-Army-General
The Veteran Swordmaster's Stream;7.9;32;NA;https://demonicscans.org/manga/The-Veteran-Swordmaster%2527s-Stream
