title;rating;chapters;description;url
0th correctional officer;;39;Ji-hun, a former member of a secret special forces unit under the Special Operations Planning Office of the South Korean Army Headquarters, returns from a long overseas deployment-- only to receive the news that his younger sister Ji-yun has died, and that the person accused of killing her is none other than her boyfriend, Seo Min-jun. While still struggling to accept the fact that his sister is gone, Ji-hun, who trusted Min-jun, learns that Min-jun was falsely accused and had gone to Yeokseon Prison in search of Ji-yun's real killer. But eventually, Min-jun also meets his death inside the prison. Determined to uncover the truth behind the unjust deaths of both Ji-yun and Min-jun, Ji-hun becomes a prison guard and heads to Yeokseon Prison to uncover the secrets hidden within.;https://demonicscans.org/manga/0th-correctional-officer
100 Million Years Later: The Ultimate Weapon's Return;;31;"After humanity continuously polluted the world with waste, a monstrous being known as a ""Corrupter"" was born. As these creatures spread and eroded the world, humanity was pushed to the brink of extinction. The strongest agent, Jin Shido, finally obtained the power to save the world through dangerous human experimentation. However, it was already too late--99% of humanity had already perished. Entrusting hope to the future, Jin entered a long slumber. --And then, 100 million years later. On a newly reborn Earth, Jin awakens and smiles. ""...I knew it. It was right to believe in the possibilities of the future.""";https://demonicscans.org/manga/100-Million-Years-Later%253A-The-Ultimate-Weapon%2527s-Return
18 Year Old Demon King;;50;Rabis Vindica, the son of the Great Demon King who rules the Demon Realm. After acting on his own and wiping out a rebellious demon noble family, he is punished with banishment to the Human World. Living in the body of an ordinary student, Rabis soon discovers that the demonic power he should no longer be able to use still reacts to evil. As he gradually relearns how to wield his power, he begins searching for a way to return to the Demon Realm.;https://demonicscans.org/manga/18-Year-Old-Demon-King
A Better Labor;;99;After the great explosion, the world could never return to what it once was. Divided into small countries driven by specialized labor forces, it's now a dog-eat-dog new world. But Clawhammer Jang listens to more than just his stomach. As he pushes forward, he joins forces with others, new friends also gifted with immense power following the aftermath of the great explosion. But is Jang strong enough to stand for what he believes in? And who will stand with him?;https://demonicscans.org/manga/A-Better-Labor
A Cadet Becomes a Prophet?!;;58;Money maniac Fernan Pellenberg is the young heir of House Pellenberg, one of the Empire's most prestigious houses, and a top student at the Imperial Academy. However, he's infamous for something else: his obsession with money. As a ruthless money-hound, he only acknowledges those who bring him profit and views everything in the world through the lens of monetary value. People avoid him, finding his greed repulsive. But was divine punishment finally upon him? One day, out of nowhere, disaster strikes Fernan like a bolt from the blue. As his consciousness begins to fade, something attempts to invade and take over his mind, but Fernan forcefully expels it instead. From that moment on, he begins to see something strange: a prophetic book that reveals the future. And not just any future, but a prophecy of the end of the world.;https://demonicscans.org/manga/A-Cadet-Becomes-a-Prophet%253F%2521
A Revenge Guide for the Terminally Ill Maid;;55;Framed for a crime she didn't commit, Isabel died leaving behind her little daughter. 10 years later, she awakens in another woman's body, with only one year left to live. But the world she returns to is even crueler. Her daughter is now married to the very man who murdered her, all in the name of revenge. With just one year, Isabel must find a way to save her daughter, no matter the cost.;https://demonicscans.org/manga/A-Revenge-Guide-for-the-Terminally-Ill-Maid
A Wimp's Strategy Guide to Conquer the Tower;;43;"One day, mysterious black towers suddenly rose all over the world, and a chosen few began to awaken. But for Bong Joohyuk--a wimpy, down-on-his-luck nobody--it was something that should have had nothing to do with him. After another exhausting day at his part-time job, he was just about to take a bite of ramen when-- [Bong Joohyuk, you have awakened.] ""...Eh, fuck, what the hell?!"" Is this finally his chance to turn his life around?";https://demonicscans.org/manga/A-Wimp%2527s-Strategy-Guide-to-Conquer-the-Tower
Absolute Ultimate Martial Lord;;52;Born with blocked meridians, the boy Sowoon was slow to speak and grow. After meeting the esteemed figures of the Wudang Sect, he was cherished like a precious gem and grew up under their care. He eventually formed ties with the Six Martial Lords of the Orthodox Faction—monstrous prodigies whose martial prowess defied common sense. Just then, the Demon Cult emerged in the martial world, leading to a grand battle that would shake the land...! The exhilarating and thrilling golden era of Sowoon and the Six Divine Lords in the Jianghu!;https://demonicscans.org/manga/Absolute-Ultimate-Martial-Lord
After being laid off, I got hundreds of millions of systems, and I upgraded them alone;;43;"The company was acquired, and the game otaku who was ""optimized"" was proposed to break up by his girlfriend? Is it a collapse or a broken can? Ye Fei shook his head: No, I don't want it! The best AI beauties bring hundreds of millions of systems, the more you spend,";https://demonicscans.org/manga/After-being-laid-off%252C-I-got-hundreds-of-millions-of-systems%252C-and-I-upgraded-them-alone
After Rebirth, I Used Mirror Reversal For Vengeance;;63;50 years after the game world merging with reality, a top warrior appeared. He devoted his Whole life to the world, yet was ultimately killed by the king out of fear and jealousy. Before his death, he awakened the mirror ability and sealed his soul beneath the lake's surface. The king covered up the true history and fabricated a new one, branding the warrior as a traitor in the eyes of the world. Decades later, the warrior awakened in the body of a dying man and began his vengeance using mirror ability.;https://demonicscans.org/manga/After-Rebirth%252C-I-Used-Mirror-Reversal-For-Vengeance
After Reincarnation, My Enemy Made Me Invincible with Money;;44;In the apocalyptic era, my sisters and I struggled to survive, but in the eyes of the rich and powerful, we were nothing more than ants. Just before I died, I awakened a special ability to be reincarnated. I was reborn directly into the family of my greatest enemy. Now, I will make them pour all of their resources into raising me, only so I can become their ultimate destruction!;https://demonicscans.org/manga/After-Reincarnation%252C-My-Enemy-Made-Me-Invincible-with-Money
After the Moonlight Falls;;38;Stripped of everything by vampires, Han Segun's fate changes forever when he crosses paths with Sylvester, a legendary demon hunter. From the ashes of his past, he steps onto a new path of vengeance... Welcome to the World of the Mad Moon.;https://demonicscans.org/manga/After-the-Moonlight-Falls
After the School Belle Dumped Me, I Became a Martial Arts God;;115;"Fang Yi transmigrated into a new world, only to be dumped by his school belle girlfriend right after arriving. He thought it was just the beginning of a cliché urban romance story... Until the system warned him: ""Spiritual energy will awaken in one year. The world will face great upheaval. The apocalypse is coming."" ""With a system by my side, why should I be afraid of anything?""";https://demonicscans.org/manga/After-the-School-Belle-Dumped-Me%252C-I-Became-a-Martial-Arts-God
Almighty Pig Slaughtering Knife;;59;Ye Chuan -- a mental patient -- sees all living creatures as pigs. On the day of his job assignment, he awakened a life-class profession: Butcher. His teachers and classmates were bitterly disappointed, and even his childhood sweetheart left him. However, this seemingly useless profession granted him two unique traits: o He deals extra damage to pigs. o Damage from pigs is halved. And since everyone looks like pigs in his eyes, armed with just a butcher's knife, Ye Chuan begins his incredible rise to godhood.;https://demonicscans.org/manga/Almighty-Pig-Slaughtering-Knife
An Appraiser Taken In by a Meritocracy — After Abandoning the Homeland That Treated Me Like a Slave, I Started as the Enemy Nation's Hero.;;31;"""You have real ability. Your circumstances just held you back."" Alto is a young appraiser forced to work like a slave in the nobility-ruled Kingdom of Dramd. His life changes completely when he's scouted by Beralt, a soldier of the enemy nation, the Glaus Empire. In a country that runs purely on merit, Alto's off-the-charts appraisal talent is recognized--and he's suddenly made an officer-candidate!? No sooner has he enlisted than the high command--stacked with powerhouses--pins great hopes on him, but the companions he takes in are all misfits written off as hopeless... A breezy, rise-to-the-top fantasy about seeing the hidden talents of his comrades and carving out a new destiny!";https://demonicscans.org/manga/An-Appraiser-Taken-In-by-a-Meritocracy-%25E2%2580%2594-After-Abandoning-the-Homeland-That-Treated-Me-Like-a-Slave%252C-I-Started-as-the-Enemy-Nation%2527s-Hero.
Ankle Breaker;;37;NA;https://demonicscans.org/manga/Ankle-Breaker
Anti-hero at the bottom of the job caste system;;65;"In a world where the value of existence is determined by occupation (class), the protagonist awakens to the skills of a ""thief"" and is persecuted as a ""harmful designated class"". One day, he is saved by Aoi, the head of Shinobi Street, a town where people who are also persecuted gather, and decides to become his friend. However, the peace is fleeting, and the city of Shinobi is attacked by a mysterious group, and his friends are killed one after another. At that time, Hitoshi's skill, which he could only watch, awakens and acquires the ""skill to steal the skill of the dead"". Hitoshi uses this skill and vows to take revenge on the mastermind who killed his friends.";https://demonicscans.org/manga/Anti%25252Dhero-at-the-bottom-of-the-job-caste-system
Artemis;;41;Artemis, a special agent and transcendent being, is on a mission to protect humanity from threats posed by other transcendent beings like herself. The story unfolds as she begins to question her group and her identity.;https://demonicscans.org/manga/Artemis
Assistant;;42;Ju Won, an 8-year veteran freelance killer (assistant). He gets caught up in big trouble when he meets a new assistant,;https://demonicscans.org/manga/Assistant
Awakening the Purple Thunder at the Beginning;;86;In the world of Blue Star, fierce beasts are rampant. Everyone can awaken superpowers and have the opportunity to become a strong man and dominate the world! However, Xu Jingming, who traveled through time, only had E-level superpowers. Fortunately, the Deep Blue System appeared, and the E-level weak electric superpower was upgraded to S-level Purple Thunder! Killing fierce beasts will earn you superpower points! Superpower points -1500000, Purple Thunder will evolve! SSS-level Chaos Thunder! Thus, the legend of Xu Jingming was left on Blue Star.;https://demonicscans.org/manga/Awakening-the-Purple-Thunder-at-the-Beginning
Back from the Abyss: I Am the Disaster;;48;The Immortal Emperor family was wiped out overnight, and the young master Li Chen was thrown into the most mysterious and dangerous abyss! Eight years later, he broke out of the abyss, the empress in his left hand, and the gods and demons in his right hand, and everything he went was;https://demonicscans.org/manga/Back-from-the-Abyss%253A-I-Am-the-Disaster
Bad Business;;38;Jay, a legendary hitman in the American underworld, is hired by Union—North America’s largest killer company—to destroy the killer company established by his friend Johnny with his own hands. The condition for accepting the contract was that Johnny’s life would be spared, but both Johnny and Jay are killed due to Union’s betrayal. However, through mysterious power, Jay is resurrected in the body of an ordinary Korean young man and meets Johnny, who has been resurrected in the body of a young woman. The two decide to join forces again and establish a powerful “company” to take revenge on Union, which killed them.;https://demonicscans.org/manga/Bad-Business
Barbarian's Adventure in a Fantasy World;;70;he man prayed every night to every god in existence. He begged that, upon waking the next day, he would find himself in the middle of a wondrous fantasy. One day, his prayer was finally answered. Yet it took a shape that was nothing like what he had wished for.;https://demonicscans.org/manga/Barbarian%2527s-Adventure-in-a-Fantasy-World
Became the Rebel of the Necromancer Family;;34;NA;https://demonicscans.org/manga/Became-the-Rebel-of-the-Necromancer-Family
Breakers;;108;"Joo In-gong was dragged into the remake of a game he was playing called . However, something wasn't right. The only playable characters should be Loch of the human side and Zephyr of the demon side. Instead, he awakens in the body of Shutra, the ninth prince of the Demon Realm, a character who actually didn't exist in the game’s story. Granted two mysterious powers, ""Protagonist Setting Adjustment"" and ""Power of Conquest,"" Joo In-gong now must alter the game's plot to survive against Zephyr. Yet, with every twist of the plot, he garners more attention";https://demonicscans.org/manga/Breakers
Cerberus;;50;"Living with his mother Yukie (53) in Shin-Okubo, Tokyo, Kai Fukutome (21) is walking his childhood friend Rika (21) home after celebrating Yukie's birthday when they are suddenly attacked by a stranger. Somehow, Kai and Rika manage to escape, but... A few days later, Kai's best friend Park Yujun (21), a Korean resident in Japan, is murdered by the very same man. The tragedy doesn't end there--Yukie and Rika are also caught up in the incident, leaving Rika in a coma and Yukie dead. In the aftermath, shocking truths come to light: Yujun had secretly been a spy for ""Nation N,"" Kai has an estranged twin brother--Im Jin, a superstar member of the mega-popular K-pop boy group Littlegang--and his father, Im Dohyun (53), who abandoned him long ago, is living in Korea. Overnight, Kai's fate is thrown into motion. To avenge his mother and best friend, and to uncover his own roots, he sets off alone for Seoul. But what awaits him there...!?";https://demonicscans.org/manga/Cerberus
Chronicle of Runes;;58;In a world where Runecraft thrives, Van is born with the Asura Rune, the most accursed rune in history, said to bring only ruin. When a sorcerer coveting its power strikes, Van loses everything and is sealed inside a pocket dimension, severed from the mortal realm. Drowning in despair yet fueled by unquenchable rage, he refuses to die. For 999 years, he hones his blade of vengeance. At last, he unlocks the Asura Rune's true power, tears open his prison, and returns to the world, bringing destruction with him.;https://demonicscans.org/manga/Chronicle-of-Runes
Chronicles of the Lazy Sovereign;;62;"The great martial artist who ended the chaos of the world. The Shining Supreme Martial Artist, Wi Yeonho. He was a true gentleman, a great man, and a noble hero... ""That guy? He was a total piece of trash."" A truth too shameful to be revealed to the world. The true nature of the so-called greatest hero of all time is finally exposed!";https://demonicscans.org/manga/Chronicles-of-the-Lazy-Sovereign
City of Sins;;44;Born of demon and elf blood, a boy burdened with crushing expectations steps boldly onto a battlefield of ruin and renewal. Driven by an unbreakable obsession, he forges through rivers of molten lava, shatters realms of eternal ice, and battles across barren wastelands, all for a single purpose: to surpass the towering figure far ahead. One day, when he finally drives his blade into the earth and surveys the silence around him, he finds no enemies left standing. Only then does he realize that the insurmountable peak he once chased now lies beneath his feet.;https://demonicscans.org/manga/City-of-Sins
Colorist;;45;"A world stained black. Due to creatures, humanity is driven into a giant city where light and color converge. Humanity continues its pioneering efforts to reclaim the world, and Kay, a boy who wishes to become a member of the pioneering corps. However, he is ostracized for being ""colorless"" (????)--someone without color. Then one day, due to an unfortunate incident, Kay gains the color black...";https://demonicscans.org/manga/Colorist
Corrupt City;;69;After years of toil and ridicule, one man finally found the Artifacts--remnants of a lost technology so advanced that they cannot be replicated. Several years later, that same man founded a criminal organization in Korea--the Daejung Syndicate. The man expanded his influence using five child soldiers he armed with Artifacts, and Gilja is one of them. But Gilja soon realizes that the Artifacts can free her of the syndicate entirely. However, this freedom comes with a steep price...;https://demonicscans.org/manga/Corrupt-City
Criminal Transfer Student;;30;Akihito committed a grave crime. Presumed sentence: 500 years in prison. To him, the government proposed a system called the Criminal Transfer Program. Under this program, a prisoner transfers to a troubled high school, and for each problem they resolve within the school, their sentence is reduced. Now, as a criminal transfer student, Akihito must face gangs, conspiracies, and the shadows of his own past.;https://demonicscans.org/manga/Criminal-Transfer-Student
Curse of the Vengeful Tongue;;39;Gin Asuhara is a promising young detective with unparalleled physical abilities. However, following a certain incident, he finds himself forced into a Master-Servant Contract with his senior detective, Hidemi Mera.;https://demonicscans.org/manga/Curse-of-the-Vengeful-Tongue
